,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Murgab,TM,77,37.5,61.97,36,0,4.61
1,Tabuk,PH,78.31,17.41,121.44,85,56,1.74
2,Hermanus,ZA,37.27,-34.42,19.24,75,0,3.49
3,Rikitea,PF,74.89,-23.12,-134.97,100,44,7.52
4,Cape Town,ZA,46.4,-33.93,18.42,75,0,4.7
5,Kirakira,SB,81.37,-10.46,161.92,100,88,17.63
6,Tarko-Sale,RU,63.1,64.92,77.78,65,24,8.41
7,Vestmannaeyjar,IS,47.26,63.44,-20.27,100,48,8.86
8,Sur,OM,86.95,22.57,59.53,88,8,11.59
9,Ushuaia,AR,33.8,-54.81,-68.31,86,20,8.05
10,La Macarena,CO,68.77,2.18,-73.79,98,76,1.81
11,Mehamn,NO,48.43,71.03,27.85,95,92,3.83
12,Bluff,AU,75.7,-23.58,149.07,75,8,4.72
13,Fairbanks,US,70.97,64.84,-147.72,43,1,9.17
14,Victoria,BN,80.6,5.28,115.24,88,75,2.24
15,Castro,CL,37.63,-42.48,-73.76,96,64,2.75
16,Guilin,CN,77,25.28,110.29,94,90,4.47
17,Acapulco,MX,84.2,16.86,-99.88,83,75,4.7
18,Port Lincoln,AU,59.05,-34.72,135.86,84,20,19.86
19,Norman Wells,CA,53.6,65.28,-126.83,66,75,12.75
20,Hwange,ZW,53.83,-18.35,26.5,75,56,12.55
21,Carnarvon,ZA,22.06,-30.97,22.13,56,0,2.82
22,Kodiak,US,77,39.95,-94.76,65,1,6.93
23,Butaritari,KI,84.61,3.07,172.79,100,48,9.42
24,Skibbereen,IE,59,51.55,-9.27,87,20,6.93
25,Tuktoyaktuk,CA,44.6,69.44,-133.03,87,90,13.87
26,Yellowknife,CA,55.4,62.45,-114.38,66,90,20.8
27,Kaeo,NZ,58.42,-35.1,173.78,74,64,15.12
28,East London,ZA,65.26,-33.02,27.91,100,20,14.79
29,Necochea,AR,44.47,-38.55,-58.74,99,92,9.53
30,Bend,US,77.99,44.06,-121.32,33,1,13.87
31,Chokurdakh,RU,44.92,70.62,147.9,98,92,16.28
32,Arraial do Cabo,BR,67.06,-22.97,-42.02,99,0,3.53
33,Kaitangata,NZ,52.75,-46.28,169.85,71,0,23.33
